Area,City,P Winter,P Summer
144.38,Auckland ,1684.9,1194.5
176.83,Auckland ,1926.7,1487.3
268.71,Auckland ,2026.9,1737.3
208.67,Auckland ,1938.1,-158
123.61,Auckland ,1579.9,1148.1
199.3,Auckland ,1991.4,1445.8
109.46,Auckland ,1572.5,885.77
183.28,Auckland ,1691.2,1393
110.61,Auckland ,1684.2,1191.5
146.91,Auckland ,1743.6,1149.9
77.451,Auckland ,1234.6,813.38
232.65,Auckland ,2043,1623.8
270.94,Auckland ,1986.7,1708
49.191,Auckland ,1259.7,874.48
234.5,Auckland ,1870.4,1635.7
280.93,Auckland ,2115.6,1826.1
192.18,Auckland ,18000,1596.6
95.918,Ackland ,1452,793.71
230.74,Auckland ,1936.2,1668.8
72.698,Auckland ,1430.2,905.6
129.26,Auckland ,1587.3,1227.3
110.76,Auckland ,1614.3,938.38
199.44,Auckland ,1993.2,1523.1
129.75,Auckland ,1746.4,1012.6
146.8,Auckland ,1807.6,1122.8
287.97,Auckland ,2009.4,1829.5
162.1,Auckland ,1859.1,1223.3
249.03,Auckland ,1985.5,1653.2
159.3,Auckland ,1909.4,1175.5
272.51,Auckland ,1892.7,1882
241.06,Auckland ,1981.5,1584.2
70.496,Auckland ,1478.3,805.44
109.11,Auckland ,1585.7,1001.5
250.99,Auckland ,1990.8,1779.5
89.849,Auckland ,1624.9,715.62
81.682,Auckland ,1646.4,909.78
267.02,Ackland ,2047.7,1942.7
86.902,Auckland ,1591.5,831.17
106.49,Auckland ,1319.2,875.64
227.32,Auckland ,2083.8,1773.1
202.48,Auckland ,1901.2,1587.4
44.3,Auckland ,1210.7,828.74
250.82,Auckland ,2102.1,1728.7
293.67,Auckland ,2048.5,1629.4
115.51,Auckland ,1564,943.32
172.61,Auckland ,1927.3,1414.8
248.39,Auckland ,1978.8,1812.1
92.105,Auckland ,1394.2,948.33
200.09,Auckland ,1987.1,1555.9
109.58,Auckland ,1559.8,1017.7
258.58,Auckland ,1934.4,1691.7
253.49,Auckland ,1890.8,1659.6
274.35,Auckland ,1913.3,1874.9
234.22,Auckland ,2006.9,1648.6
53.2,Auckland ,1302.7,927.48
204.57,Auckland ,1899.6,1422.4
65.746,Auckland ,1331.5,782.09
111.67,Auckland ,1688.8,1021.4
126.38,Auckland ,1634,1012.9
282.12,Auckland ,2002.6,1827.7
172.61,Auckland ,1840.3,1419
106.71,Auckland ,1579.3,905.17
74.29,Auckland ,1590.2,645.38
153.2,Auckland ,1812.6,1276.6
155.03,Auckland ,1867.7,1229
60.674,Auckland ,1322.6,667.84
119.04,Auckland ,1627.9,1058
46.676,Auckland ,1289.2,901.37
85.146,Auckland ,1470.5,796.75
189.36,Auckland ,1813.2,1246
144.64,Auckland ,1906,1128.7
192.15,Auckland ,2069.2,1350.3
277.79,Auckland ,1904.2,1908.8
285.36,Auckland ,2053.1,1806
270.6,Auckland ,2005.6,1730.6
115.12,Auckland ,1683.4,1002.2
179.33,Auckland ,1940.6,1403.2
154.28,Auckland ,1704.7,1202
186.8,Auckland ,2025.2,1423.4
68.194,Auckland ,1407.3,756.75
179.36,Auckland ,1943.8,1455.6
63.814,Auckland ,1578.2,746.14
227.04,Auckland ,1763.2,1599.5
126.67,Auckland ,1871,1041.3
130.14,Auckland ,1694.2,1150.4
212.05,Auckland ,1943.8,1577.5
169.87,Auckland ,1898.9,1170
134.83,Auckland ,1632.4,1115.1
229.81,Auckland ,1978.5,1664.6
228.94,Auckland ,2016.7,1698.7
264.37,Auckland ,1989,1880.9
98.349,Auckland ,1492.9,875.19
73.345,Auckland ,1286.2,711.51
133.38,Auckland ,1837.8,1055.1
265.52,Auckland ,1968.5,1768.9
137.16,Auckland ,1702.5,1019.6
232.59,Auckland ,1911.9,12000
241.37,Auckland ,1908.2,1758.8
159.09,Auckland ,1822.9,1166.6
136.5,Auckland ,1855.8,1062.3
205.7,Auckland ,1903.9,1659.4
219.91,Auckland ,2005,1516.2
203.1,Auckland ,1857.2,1466.5
249.8,Auckland ,2008.8,1818.5
80.89,Auckland ,1467.7,823.15
63.364,Auckland ,1284,865.97
86.538,Auckland ,1505.2,732.44
294.26,Auckland ,1968,1834.6
254.49,Auckland ,1995.3,1726.5
87.846,Auckland ,1422.8,804.1
226.48,Auckland ,2093,1642.3
68.257,Auckland ,1396.5,823.38
47.403,Auckland ,1197.1,934.9
168.87,Auckland ,1719,1352.2
140.51,Auckland ,1876.9,1271.5
123.41,Auckland ,1718.7,963.34
146.28,Auckland ,1892.1,1292.8
262.51,Auckland ,1986.9,1748.8
58.613,Auckland ,1415.6,877.38
252.13,Auckland ,1858.6,1648.3
198.62,Auckland ,1810.5,1429.4
57.952,Auckland ,1297.6,683.3
70.351,Auckland ,1422.5,853.74
188.53,Auckland ,1870.5,1435
127.27,Auckland ,1566.8,913.25
149.67,Auckland ,1912.9,1304.7
132.42,Auckland ,1788,1020.8
228.72,Auckland ,1905.9,1646.1
48.901,Auckland ,1264.3,868.93
96.907,Auckland ,1631.7,874.77
123.7,Auckland ,1677.4,1125.8
267.24,Auckland ,1917.4,1694.7
269.82,Auckland ,1959.5,1688.2
88.885,Auckland ,1454.6,905.32
241.41,Auckland ,1997.5,1680.8
151.75,Auckland ,1860.5,1082.1
42.453,Auckland ,1169.5,830.49
70.233,Auckland ,1389.8,841.79
256.88,Auckland ,2105.2,1820.3
84.08,Auckland ,1588.6,761.89
151.78,Auckland ,1847.7,1131.9
52.705,Auckland ,1429.6,830.79
104.75,Auckland ,1616.7,1004.1
294.37,Auckland ,1965.3,1786.8
120.3,Auckland ,1797.1,871.83
164.66,Auckland ,1895.9,1268.2
88.203,Auckland ,1635.1,877.24
68.893,Auckland ,1280.8,730.27
180.18,Auckland ,2055.4,1336.3
137.11,Auckland ,1803.3,1087.8
48.624,Auckland ,1348.3,831.49
266.03,Auckland ,2014,1716.7
238.09,Auckland ,2067.1,1603.9
248.16,Auckland ,1848.6,1650.7
249.44,Auckland ,2069.5,1736.1
69.497,Auckland ,1222.8,823.71
101.74,Auckland ,1666.9,1025.7
292.86,Auckland ,2013.3,1807.8
260.73,Auckland ,1845.5,1880.6
245.47,Auckland ,2016.4,1661.6
85.446,Auckland ,1543.6,830.37
45.016,Auckland ,1286.9,804.7
110.6,Auckland ,1652.6,921.47
79.936,Auckland ,1436.8,683.51
167.09,Auckland ,1832.5,1311.2
267.44,Auckland ,2047.7,1818.1
91.3,Auckland ,1396.6,818.31
166.4,Auckland ,1820.1,1287.2
116.76,Auckland ,1607.9,1120.6
234.57,Auckland ,2090.1,1726.2
298.38,Auckland ,2060.4,1710.4
140.55,Auckland ,1793.2,1141.6
140.18,Auckland ,1813.6,1109.9
47.505,Auckland ,1130.1,926.73
52.843,Auckland ,1487.5,666.24
102.48,Auckland ,1526.1,939.82
91.635,Auckland ,1572.5,801.44
134.03,Auckland ,1727.4,1113.8
-25,Auckland ,1560.4,737.34
216.08,Auckland ,2057.2,1605.1
279.61,Auckland ,1898.5,1860.3
230.8,Auckland ,1999.9,1604.2
254.33,Auckland ,1930.5,1677
238.36,Auckland ,1998.6,1572.1
117.64,Auckland ,1687.1,915.48
43.619,Auckland ,1185.7,902.41
136.13,Auckland ,1667.8,1051.1
251.95,Auckland ,1820.6,1591.7
292.9,Auckland ,1993,1849.6
152.63,Auckland ,1658.1,974.96
125.26,Auckland ,1770.4,1035.5
173.39,Auckland ,1794.5,1467.1
215.6,Auckland ,2016.8,1584.3
181.17,Auckland ,1984.7,1427.3
211.79,Auckland ,1905,1518.6
246.1,Auckland ,1938.4,1728.3
212.59,Auckland ,1986,1492.2
278.26,Auckland ,1926.1,1858.3
209.27,Auckland ,2048.1,1394.2
188.38,Auckland ,2029.4,1427.3
132.17,Auckland ,1900.2,1048.2
219.15,Auckland ,2062.9,1629.2
130.69,Auckland ,1637.1,1048.3
248.45,Auckland ,2028.5,1755.1
199.21,Auckland ,1887.9,1600.7
194.44,Auckland ,1920.2,1477.5
157.64,Auckland ,2006.4,1338.7
159.58,Auckland ,1810.7,1229.1
188.11,Auckland ,1802.7,1462.6
187.86,Auckland ,1993.9,1393.4
131.05,Auckland ,1846.2,1127.7
145.97,Auckland ,1864.6,1294.2
228.11,Auckland ,1884,1532.6
41.489,Auckland ,1152.3,990.54
131.7,Auckland ,1703.8,970.03
178.06,Auckland ,1786.9,1390.7
42.472,Auckland ,1240.5,872.83
129.62,Auckland ,1703.1,1043.9
242.74,Auckland ,1769.8,1731.5
226.4,Auckland ,1909.7,1657.4
150.19,Auckland ,1917.6,1294.8
169.75,Auckland ,1960.6,1323.7
89.365,Auckland ,1410,843.97
266.23,Auckland ,2071.6,1860.1
54.997,Auckland ,1357.8,766.18
115.54,Auckland ,1804.3,1060.7
102.68,Auckland ,1689.4,884.21
298.62,Auckland ,1968.8,1880.3
262.27,Auckland ,1845,1759.7
245.49,Auckland ,1907.2,1770.1
278.09,Auckland ,1957.3,1668.2
208.88,Auckland ,1942.4,1661.9
262.56,Auckland ,1998.2,1701.6
186.8,Auckland ,1867.9,1333.9
186.33,Auckland ,1880.6,1393.4
54.507,Auckland ,1342.4,852.03
59.692,Auckland ,1441.9,751.11
143.05,Auckland ,1757.7,1115.2
272.68,Auckland ,1944.2,1595.1
166.64,Auckland ,1897.9,1221.7
71.091,Auckland ,1554.5,829.64
297.25,Auckland ,1839.2,1859.2
230.18,Auckland ,2213,1678.1
47.04,Auckland ,1202.7,765.25
116.9,Auckland ,1742.8,1017.3
130.02,Auckland ,1529.4,1214.6
78.181,Auckland ,1449.3,883.86
230.94,Auckland ,1723.9,1741.2
280.06,Auckland ,2053.4,1893.2
77.643,Auckland ,1490.2,798.33
185.06,Wellington,1849.4,1722.2
63.64,Wellington,1403.6,1017
220.13,Wellington,1896.8,1823.6
294.17,Wellington,1896.1,1910.1
262.05,Wellington,2057.8,1890.3
78.664,Wellington,1547.8,1101.3
204.14,Wellington,1945.4,1703.1
189.28,Wellington,1928.3,1657.3
250.48,Wellington,2231.2,1855.4
206.38,Wellington,1990.8,1816.6
144.25,Wellington,1988.9,1436.6
88.913,Wellington,1675.4,1104.9
295.45,Wellington,1968.8,1943.3
126.72,Wellington,1824.6,1339.8
192.4,Wellington,1945.6,1682.8
147.41,Wellington,1708.6,1462.5
101.88,Wellington,1632.4,1252.7
67.892,Wellington,1367.1,965.47
207.83,Wellington,1889.8,1759.6
292.51,Wellington,1801,1939.1
226.61,Wellington,1943.4,1700.7
264.29,Wellington,1969.5,1856.5
94.733,Wellington,1477.8,1142.1
146.95,Wellington,1818.1,1524.4
275.95,Wellington,2047,1856.3
260.12,Wellington,1955.9,1859.7
163.9,Wellington,1821.8,1543.8
256.04,Wellington,2020,1828.8
171.03,Wellington,1895.9,1568.8
70.255,Wellington,1556,982.63
101.7,Wellington,1727,1283.3
119.03,Wellington,1803.9,1273.8
207.73,Wellington,2188.6,1766.8
288.38,Wellington,2091.1,1905.8
88.531,Wellington,1670.9,1104.1
280.67,Wellington,1893.3,1912.3
90.524,Wellington,1840.5,1053
213.42,Wellington,1891.8,1786.6
211.53,Wellington,1889.3,1857.1
290.09,Wellington,1979.3,1970.5
131.25,Wellington,1733.9,1355.8
260.76,Wellington,1809.1,1907.4
210.79,Wellington,2050.8,1725.1
296.29,Wellington,2146.6,1934.4
199.51,Wellington,1947.7,1746.4
183.93,Wellington,1836.1,1680.8
162.36,Wellington,1940.3,1533.9
107.7,Wellington,1894,1271.2
210.65,Wellington,2008.4,1733.2
147.91,Wellington,1883.2,1520.6
240.53,Wellington,1993.9,1923.6
208.08,Wellington,1936.2,1772.5
61.097,Wellington,1388.3,967.32
154.34,Wellington,1917.3,1495.9
89.715,Wellington,1513.2,1145.4
218.62,Wellington,1937,1846.8
86.242,Wellington,1536.1,1129.4
50.879,Wellington,1456.5,1030.4
210.01,Wellington,1951.9,1774.6
195.95,Wellington,1913.8,1792
208.8,Wellington,2111.9,1791.7
78.188,Wellington,1483.5,1112
157.89,Wellington,1946.8,1568.1
137.38,Wellington,1784.5,1371.3
139.94,Wellington,1784.5,1399.3
261.55,Wellington,1815.6,1908.7
85.576,Wellington,1627.4,1072.3
138.18,Wellington,1956.5,1416.6
121.29,Wellington,1890,1247.6
236.1,Wellington,1965.8,1874.9
247.06,Wellington,2063.2,1932.8
259.22,Wellington,2033.2,1853.9
52.356,Wellington,1424.5,926.4
153.98,Wellington,1957.3,1506.5
275.89,Wellington,1937.7,1900.4
137.49,Wellington,1829.8,1396
219.47,Wellington,2059.3,1784.9
223.64,Wellington,1867,1684.1
223.04,Wellington,2071.3,1820.4
279.07,Wellington,2041.3,1895.7
158.2,Wellington,2029.2,1548.8
83.401,Wellington,1548.4,1089.9
214.6,Wellington,2037.3,1803.6
184.29,Wellington,1965.4,1653.3
202.3,Wellington,1990.8,1758.5
104.77,Wellington,1889.2,1185
296.71,Wellington,1923.9,1942.6
87.57,Wellington,1428.3,1091.7
262.14,Wellington,2050.6,1907
126.45,Wellington,1784.1,1401
206.96,Wellington,2044.7,1746.9
51.001,Wellington,1449.7,1005.6
79.762,Wellington,1722.6,1002.3
187.89,Wellington,1937,1636.9
69.574,Wellington,1649.6,1017.6
291.04,Wellington,1923.6,1960.4
219.39,Wellington,1987.1,1812.2
177.32,Wellington,2051.7,1569
184.05,Wellington,1801.5,1730.1
181.54,Wellington,1955.9,1623.3
284.87,Wellington,2086.9,1928.1
290.87,Wellington,2018.1,1913
247.86,Wellington,1954,1881.8
223.67,Wellington,2164.3,1926.8
186.18,Wellington,1992.4,1651.1
205.41,Wellington,1923.9,1767.2
212.36,Wellington,1887.1,1768.3
203.68,Wellington,1989.4,1741.4
200.44,Wellington,1977.8,1713.9
84.409,Wellington,1515.9,1159.1
192,Wellington,1897.5,1744
189.99,Wellington,1988.8,1668.2
40.373,Wellington,1228,970.69
60.527,Wellington,1328.4,1012.6
285.07,Wellington,1875.2,1850.3
274.67,Wellington,1985.2,1891.5
294.46,Wellington,1953.7,1975.8
287.53,Wellington,1857.7,1968.3
185.25,Wellington,1993.7,1656.9
49.469,Wellington,1282.4,921.7
281.02,Wellington,2010.6,1910.3
154.9,Wellington,1811.8,1551.6
105.23,Wellington,1741.5,1246.7
59.905,Wellington,1323,981.57
47.673,Wellington,1369.5,993.7
247.35,Wellington,2109.8,1818.5
223.89,Wellington,1866.6,1805.5
142.12,Wellington,1859.7,1425.2
185.65,Wellington,1944.6,1689.3
229.36,Wellington,1878.8,1811
239,Wellington,1993.3,1885.2
43.71,Wellington,1347,1024.6
148.39,Wellington,1902.1,1466.8
147.02,Wellington,1878.3,1498.2
289.68,Wellington,2038.5,1845.8
42.719,Wellington,1407.3,1035.3
188.99,Wellington,2009.1,1669.3
189.32,Wellington,1925,1654
113.62,Wellington,1828,1155.9
71.133,Wellington,1513.2,1077.9
80.215,Wellington,1478.3,1090.6
111.37,Wellington,1756.2,1164.2
285.99,Wellington,2013.5,1956.9
290.55,Wellington,1957.5,1882.8
209.04,Wellington,2051.3,1741.3
40.172,Wellington,1383.8,1021.5
151.08,Wellington,1884.3,1479.2
284.95,Wellington,1915.3,1862.1
144.4,Wellington,1856.6,1499.8
242.36,Wellington,1924.9,1856.8
48.139,Wellington,1264.4,1011.3
225.85,Wellington,1921.2,1847.1
276.65,Wellington,2152.3,1874.2
235.73,Wellington,1890.4,1836.3
96.496,Wellington,1621.9,1185.6
120.31,Wellington,1833.3,1305.6
149.66,Wellington,1912.6,1510.2
139.84,Wellington,1863.1,1422.9
69.163,Wellington,1598.2,1062.1
155.83,Wellington,1828.2,1571.8
65.964,Wellington,1581.5,993.69
73.313,Wellington,1655.8,981.1
261.42,Wellington,1942.3,1880.1
147.48,Wellington,1909,1469.2
207.81,Wellington,1956.9,1762.7
265.8,Wellington,1939.7,1836.7
151.66,Wellington,1898.3,1481.1
245.97,Wellington,1943.9,1826.7
56.537,Wellington,1552.1,968.31
172.51,Wellington,1917.6,1654.3
271.01,Wellington,2034.5,1834.3
251.82,Wellington,2130,1898.8
104.34,Wellington,1944.5,1258.1
299.36,Wellington,1985.3,1949.4
246.52,Wellington,2056.5,1743.6
226.34,Wellington,2140.2,1818.9
251.2,Wellington,1982.6,1855.1
70.642,Wellington,1390.3,1007.1
240.88,Wellington,1880.4,1847.4
250.14,Wellington,1979.5,1908.6
232.25,Wellington,1959.7,1815.2
185.79,Wellington,1900.3,1693
238.4,Wellington,1977.4,1879.3
200.95,Wellington,1960.7,1721.5
136.44,Wellington,1926,1417.9
93.028,Wellington,1726.9,1071.4
76.312,Wellington,1509.6,1145.6
65.082,Wellington,1442.6,962.87
69.307,Wellington,1500,1031.9
41.32,Wellington,1504.4,1079.3
275.19,Wellington,1935.3,1950.2
232.23,Wellington,1940.1,1765.9
54.926,Wellington,1439,1025.8
298.09,Wellington,2006.4,1902.1
152.47,Wellington,1907.4,1611.2
110.77,Wellington,1723.4,1216.3
146.25,Wellington,1858.1,1467.5
41.519,Wellington,1381.1,1001.5
181.49,Wellington,1866.5,1669.5
133.67,Wellington,1961.2,1387
246.86,Wellington,2034.3,1867.4
233.53,Wellington,1880.1,1858.8
165.31,Wellington,1858.8,1580.4
275.24,Wellington,2030.3,1929.6
294.13,Wellington,1965.9,1923.3
229.68,Wellington,1967.2,1811.2
52.015,Wellington,1349.8,977.94
81.256,Wellington,1617.2,1077.8
238.7,Wellington,2042.4,1847.3
99.595,Wellington,1573,1150.5
87.488,Wellington,1637.5,1229.1
247.84,Wellington,2078.5,1890.7
108.78,Wellington,1820.7,1168.1
118.81,Wellington,1857.5,1247.7
297.99,Wellington,2018.3,1919.6
127.19,Wellington,1817.2,1324.8
279.03,Wellington,2112.6,1937.3
294.26,Wellington,2146.2,1993.2
181.62,Wellington,1786.9,1661.2
265.53,Wellington,1930.4,1899.2
288.33,Wellington,1997.3,1857.9
130.82,Wellington,1880.1,1431.8
264.16,Wellington,2000.4,1949.8
247.61,Wellington,1998.6,1846.2
192.62,Wellington,1845.9,1600.4
84.346,Wellington,1659,994.22
148.59,Wellington,1740.9,1522.3
77.191,Wellington,1465.2,1053.9
225.76,Wellington,2031.1,1807.9
282.63,Wellington,2075.4,1938.6
293.13,Wellington,2129.2,1971.6
195.62,Wellington,1976.3,1727.6
174.14,Wellington,2061,1611.1
204.06,Wellington,1829.2,1829
287.86,Wellington,2133,1828.8
162.23,Wellington,1934.7,1593.7
143.14,Wellington,1778.7,1446
166.27,Wellington,1951.8,1586.2
295.6,Wellington,1923.7,1923.7
275.35,Wellington,2103.1,1878.1
197.79,Wellington,2000.5,1750.3
107.69,Wellington,1649,1213.8
237.35,Wellington,1897.4,1780.5
83.602,Wellington,1546,1041.3
65.919,Sydney,1449.5,1063
184.45,Wellington,1871.3,1681.6
292.69,Wellington,2120,1945.1
140.99,Sydney,1773.8,1413
146.54,Wellington,2050.4,1494.1
98.033,Wellington,1667.2,1162.6